School,Staff Website,Website Type
Senn High School,http://www.sennhs.org/apps/staff/,1
Sullivan High School,http://sullivanhs.org/about/,2
Northside Prep High School,http://www.northsideprep.org/apps/staff/,3
Mather High School,http://www.matherhs.org/apps/staff/,1
Lake View High School,http://www.lakeviewhs.com/academics/Staff1.cfm,
Chicago Math and Science High School,,
Amundsen High School,http://www.amundsenhs.org/apps/staff/,1
Jones High School,http://www.jonescollegeprep.org/apps/staff/,1
Lincoln Park High School,http://www.lincolnparkhs.org/apps/staff/,1
Payton High School,http://www.wpcp.org/ContactUs/ContactList.aspx?category=staff,
Uplift High School,http://www.uplifths.org/apps/staff/,1
Field Middle School,http://www.eugenefield.org/apps/staff/,1
Jenner,http://jenner.cps.edu/faculty.html,
Manierre,,
Agassiz,,
Alcott,http://www.alcottelementary.net/apps/staff/,1
Brennemann,,
Clinton,,
Courtenay,http://courtenay.cps.edu/directory.html,
Franklin,http://www.franklinfineartscenter.org/apps/staff/,1
Gale,,
Goudy,http://www.goudy.cps.edu/classrooms.html,
Greeley,http://www.greeleyelementary.net/faculty-and-staff,
Hamilton,http://www.hamiltoncps.org/about-hamilton/school-staff,
Hawthorne,http://www.hawthorneacad.org/category/teachers/,
Inter-American,http://www.iamschicago.com/student/faculty,
Lasalle,http://www.lasallechicago.com/faculty,
Lincoln,http://www.lincolnelementary.org/school-contacts.html,
Mayer,http://mayermagnet.org/about/staff-directory/,
McCutcheon,http://www.mccutcheonelementary.org/apps/staff/,
Nettlehorst,,
Newberry,http://www.newberryacademy.org/faculty-list/,
Odgen Elemetary/High School,http://ogden.cps.edu/staff-directory-by-campus.html,
Salazar,http://salazarbilingualcenter.weebly.com/staff.html,
Skinner North,http://www.skinnernorth.org/teacher-contacts.html,
Armstrong,http://www.georgearmstrongelementary.org/apps/staff/,1
Boone,http://www.boone.cps.edu/fs-directory.html,
Chappell,http://chappellelementaryschool.org/apps/staff/,1
Decatur,http://decaturclassical.org/about-us/staff-directory/,
Disney Magnet,http://www.disney.cps.edu/fs.html,
Hayt,http://hayt.cps.edu/staff-directory/,4
Jamieson,http://www.jamiesonschool.org/apps/staff/,1
Jordan,http://jordanelementaryschool.weebly.com/staff.html,
Kilmer,http://www.kilmerelementary.org/apps/staff/departmental.jsp?show=TDE,1
McPherson,http://schoolsites.schoolworld.com/schools/McPhersonElem/about.cfm?subpage=1738643,
New Field,http://www.newfield.cps.edu/fs-directory.html,
Passages,http://www.passagescharterschool.com/p/teachers.html,
Peirce,http://peirce.cps.edu/staff-directory.html,
Ravenswood,http://ravenswoodelementary.org/faculty/,
Rogers,http://www.philiprogersschool.org/apps/staff/,1
Solomon,http://solomon.cps.edu/directory.html,
Stone,http://stoneacademy.net/teacher/teachers.shtml,
Swift,http://swift.cps.edu/apps/staff/,1
Waters,http://www.waterselementary.org/contact.html,
West Ridge,http://www.westridgeelementary.org/apps/staff/,1
